Date,Route,Attempted,Succeeded,Success Percentage
8/17/15,Disappointment Cleaver,2,2,1
8/17/15,Emmons-Winthrop,9,9,1
8/17/15,Emmons-Winthrop,1,0,0
8/16/15,Disappointment Cleaver,3,0,0
8/16/15,Disappointment Cleaver,3,0,0
8/16/15,Disappointment Cleaver,2,0,0
8/16/15,Emmons-Winthrop,12,0,0
8/16/15,Disappointment Cleaver,2,2,1
8/16/15,Disappointment Cleaver,2,2,1
8/16/15,Disappointment Cleaver,3,0,0
8/16/15,Disappointment Cleaver,2,0,0
8/16/15,Disappointment Cleaver,12,12,1
8/16/15,Emmons-Winthrop,12,0,0
8/16/15,Disappointment Cleaver,12,9,0.75
8/15/15,Disappointment Cleaver,4,0,0
8/15/15,Disappointment Cleaver,2,2,1
8/15/15,Disappointment Cleaver,12,6,0.5
8/15/15,Disappointment Cleaver,12,11,0.916666667
8/15/15,Disappointment Cleaver,12,9,0.75
8/15/15,Emmons-Winthrop,3,0,0
8/15/15,Little Tahoma,2,2,1
8/15/15,Emmons-Winthrop,4,4,1
8/15/15,Emmons-Winthrop,5,0,0
8/15/15,Disappointment Cleaver,2,2,1
8/15/15,Disappointment Cleaver,3,0,0
8/15/15,Disappointment Cleaver,2,0,0
8/15/15,Disappointment Cleaver,1,1,1
8/15/15,Disappointment Cleaver,2,2,1
8/15/15,Disappointment Cleaver,2,2,1
8/14/15,Disappointment Cleaver,2,0,0
8/14/15,Disappointment Cleaver,4,4,1
8/14/15,Disappointment Cleaver,10,10,1
8/14/15,Disappointment Cleaver,4,0,0
8/14/15,Disappointment Cleaver,2,0,0
8/14/15,Disappointment Cleaver,2,0,0
8/14/15,Disappointment Cleaver,5,2,0.4
8/14/15,Disappointment Cleaver,3,0,0
8/14/15,Disappointment Cleaver,2,0,0
8/14/15,Disappointment Cleaver,3,0,0
8/14/15,Disappointment Cleaver,2,0,0
8/14/15,Disappointment Cleaver,8,0,0
8/14/15,Disappointment Cleaver,8,0,0
8/14/15,Disappointment Cleaver,11,0,0
8/14/15,Disappointment Cleaver,12,0,0
8/13/15,Disappointment Cleaver,12,9,0.75
8/13/15,Disappointment Cleaver,10,9,0.9
8/13/15,Disappointment Cleaver,4,0,0
8/13/15,Disappointment Cleaver,7,0,0
8/12/15,Disappointment Cleaver,2,2,1
8/12/15,Emmons-Winthrop,4,0,0
8/12/15,Disappointment Cleaver,2,2,1
8/12/15,Emmons-Winthrop,2,2,1
8/12/15,Disappointment Cleaver,11,6,0.545454545
8/12/15,Disappointment Cleaver,11,7,0.636363636
8/12/15,Disappointment Cleaver,9,0,0
8/12/15,Disappointment Cleaver,3,3,1
8/12/15,Disappointment Cleaver,2,2,1
8/12/15,Disappointment Cleaver,6,0,0
8/12/15,Kautz Glacier,3,0,0
8/11/15,Disappointment Cleaver,3,3,1
8/11/15,Disappointment Cleaver,2,0,0
8/11/15,Disappointment Cleaver,4,4,1
8/11/15,Disappointment Cleaver,2,0,0
8/11/15,Disappointment Cleaver,12,0,0
8/11/15,Emmons-Winthrop,12,0,0
8/11/15,Disappointment Cleaver,12,0,0
8/11/15,Disappointment Cleaver,12,0,0
8/11/15,Disappointment Cleaver,2,2,1
8/11/15,Kautz Glacier,10,0,0
8/11/15,Disappointment Cleaver,12,10,0.833333333
8/11/15,Disappointment Cleaver,2,2,1
8/11/15,Disappointment Cleaver,5,0,0
8/10/15,Disappointment Cleaver,2,0,0
8/10/15,Disappointment Cleaver,3,0,0
8/10/15,Emmons-Winthrop,12,8,0.666666667
8/10/15,Disappointment Cleaver,12,0,0
8/10/15,Disappointment Cleaver,12,9,0.75
8/10/15,Disappointment Cleaver,12,0,0
8/10/15,Disappointment Cleaver,2,0,0
8/9/15,Emmons-Winthrop,12,7,0.583333333
8/9/15,Emmons-Winthrop,12,12,1
8/9/15,Disappointment Cleaver,3,1,0.333333333
8/9/15,Disappointment Cleaver,4,4,1
8/9/15,Disappointment Cleaver,4,0,0
8/9/15,Disappointment Cleaver,12,10,0.833333333
8/9/15,Disappointment Cleaver,12,10,0.833333333
8/9/15,Kautz Glacier,10,0,0
8/8/15,Disappointment Cleaver,3,0,0
8/8/15,Emmons-Winthrop,1,0,0
8/8/15,Disappointment Cleaver,2,0,0
8/8/15,Disappointment Cleaver,12,12,1
8/8/15,Disappointment Cleaver,12,10,0.833333333
8/8/15,Disappointment Cleaver,12,2,0.166666667
8/8/15,Disappointment Cleaver,2,0,0
8/8/15,Disappointment Cleaver,3,0,0
8/8/15,Disappointment Cleaver,3,0,0
8/8/15,Disappointment Cleaver,2,0,0
8/7/15,Disappointment Cleaver,5,0,0
8/7/15,Disappointment Cleaver,3,3,1
8/7/15,Disappointment Cleaver,2,0,0
8/7/15,Disappointment Cleaver,2,0,0
8/7/15,Disappointment Cleaver,4,0,0
8/7/15,Disappointment Cleaver,2,0,0
8/7/15,Disappointment Cleaver,4,0,0
8/7/15,Disappointment Cleaver,2,2,1
8/7/15,Disappointment Cleaver,8,8,1
8/7/15,Disappointment Cleaver,11,8,0.727272727
8/7/15,Disappointment Cleaver,1,1,1
8/7/15,Disappointment Cleaver,12,9,0.75
8/7/15,Disappointment Cleaver,12,6,0.5
8/7/15,Disappointment Cleaver,12,6,0.5
8/7/15,Disappointment Cleaver,12,10,0.833333333
8/7/15,Disappointment Cleaver,12,12,1
8/7/15,Disappointment Cleaver,1,0,0
8/7/15,Disappointment Cleaver,11,7,0.636363636
8/6/15,Disappointment Cleaver,8,8,1
8/6/15,Disappointment Cleaver,3,3,1
8/6/15,Emmons-Winthrop,4,0,0
8/6/15,Emmons-Winthrop,3,0,0
8/6/15,Disappointment Cleaver,2,0,0
8/6/15,Disappointment Cleaver,2,0,0
8/6/15,Disappointment Cleaver,6,4,0.666666667
8/6/15,Disappointment Cleaver,3,3,1
8/6/15,Disappointment Cleaver,4,0,0
8/6/15,Disappointment Cleaver,2,0,0
8/6/15,Disappointment Cleaver,2,0,0
8/6/15,Disappointment Cleaver,3,0,0
8/6/15,Disappointment Cleaver,12,0,0
8/6/15,Disappointment Cleaver,12,6,0.5
8/6/15,Disappointment Cleaver,12,9,0.75
8/6/15,Kautz Glacier,2,2,1
8/6/15,Disappointment Cleaver,4,0,0
8/6/15,Disappointment Cleaver,3,3,1
8/6/15,Disappointment Cleaver,11,8,0.727272727
8/6/15,Disappointment Cleaver,3,0,0
8/6/15,Disappointment Cleaver,2,2,1
8/6/15,Disappointment Cleaver,1,0,0
8/5/15,Disappointment Cleaver,6,0,0
8/5/15,Disappointment Cleaver,2,0,0
8/5/15,Disappointment Cleaver,3,3,1
8/5/15,Emmons-Winthrop,2,0,0
8/5/15,Disappointment Cleaver,2,2,1
8/5/15,Disappointment Cleaver,5,0,0
8/5/15,Disappointment Cleaver,8,0,0
8/5/15,Disappointment Cleaver,11,4,0.363636364
8/5/15,Disappointment Cleaver,11,6,0.545454545
8/5/15,Disappointment Cleaver,11,10,0.909090909
8/5/15,Disappointment Cleaver,2,2,1
8/5/15,Disappointment Cleaver,3,0,0
8/5/15,Disappointment Cleaver,2,0,0
8/4/15,Disappointment Cleaver,2,0,0
8/4/15,Emmons-Winthrop,2,2,1
8/4/15,Emmons-Winthrop,12,10,0.833333333
8/4/15,Disappointment Cleaver,12,8,0.666666667
8/4/15,Disappointment Cleaver,12,12,1
8/4/15,Disappointment Cleaver,12,12,1
8/4/15,Kautz Glacier,10,6,0.6
8/4/15,Disappointment Cleaver,2,2,1
8/4/15,Disappointment Cleaver,2,0,0
8/4/15,Disappointment Cleaver,3,0,0
8/3/15,Disappointment Cleaver,8,0,0
8/3/15,Disappointment Cleaver,5,4,0.8
8/3/15,Disappointment Cleaver,2,0,0
8/3/15,Disappointment Cleaver,3,0,0
8/3/15,Disappointment Cleaver,2,0,0
8/3/15,Disappointment Cleaver,8,8,1
8/3/15,Disappointment Cleaver,12,11,0.916666667
8/3/15,Emmons-Winthrop,12,5,0.416666667
8/3/15,Disappointment Cleaver,12,9,0.75
8/3/15,Disappointment Cleaver,3,3,1
8/3/15,Disappointment Cleaver,3,3,1
8/3/15,Disappointment Cleaver,5,0,0
8/3/15,Disappointment Cleaver,5,0,0
8/3/15,Emmons-Winthrop,12,0,0
8/2/15,Emmons-Winthrop,11,7,0.636363636
8/2/15,Disappointment Cleaver,12,10,0.833333333
8/2/15,Disappointment Cleaver,3,0,0
8/2/15,Disappointment Cleaver,7,7,1
8/2/15,Disappointment Cleaver,8,0,0
8/2/15,Disappointment Cleaver,8,7,0.875
8/2/15,Disappointment Cleaver,12,7,0.583333333
8/2/15,Kautz Glacier,12,0,0
8/2/15,Disappointment Cleaver,1,0,0
8/2/15,Disappointment Cleaver,2,0,0
8/2/15,Kautz Glacier,3,0,0
8/2/15,Disappointment Cleaver,2,2,1
8/2/15,Disappointment Cleaver,2,0,0
8/2/15,Disappointment Cleaver,3,0,0
8/2/15,Disappointment Cleaver,7,7,1
8/2/15,Emmons-Winthrop,3,3,1
8/2/15,Disappointment Cleaver,9,6,0.666666667
8/2/15,Disappointment Cleaver,3,3,1
8/1/15,Disappointment Cleaver,9,8,0.888888889
8/1/15,Disappointment Cleaver,3,0,0
8/1/15,Disappointment Cleaver,2,2,1
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Disappointment Cleaver,7,4,0.571428571
8/1/15,Disappointment Cleaver,5,0,0
8/1/15,Disappointment Cleaver,2,2,1
8/1/15,Disappointment Cleaver,3,0,0
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Disappointment Cleaver,3,2,0.666666667
8/1/15,Disappointment Cleaver,2,2,1
8/1/15,Disappointment Cleaver,3,0,0
8/1/15,Kautz Glacier,3,0,0
8/1/15,Emmons-Winthrop,3,0,0
8/1/15,Emmons-Winthrop,10,10,1
8/1/15,Disappointment Cleaver,12,7,0.583333333
8/1/15,Disappointment Cleaver,9,6,0.666666667
8/1/15,Disappointment Cleaver,10,7,0.7
8/1/15,Kautz Glacier,2,0,0
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Disappointment Cleaver,2,2,1
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Disappointment Cleaver,2,2,1
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Disappointment Cleaver,3,3,1
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Emmons-Winthrop,3,3,1
8/1/15,Disappointment Cleaver,2,0,0
8/1/15,Disappointment Cleaver,2,2,1
7/31/15,Disappointment Cleaver,4,0,0
7/31/15,Disappointment Cleaver,6,3,0.5
7/31/15,Disappointment Cleaver,11,0,0
7/31/15,Disappointment Cleaver,2,2,1
7/31/15,Disappointment Cleaver,1,0,0
7/31/15,Emmons-Winthrop,3,0,0
7/31/15,Emmons-Winthrop,6,0,0
7/31/15,Disappointment Cleaver,2,2,1
7/31/15,Disappointment Cleaver,3,2,0.666666667
7/31/15,Disappointment Cleaver,7,4,0.571428571
7/31/15,Disappointment Cleaver,5,5,1
7/31/15,Disappointment Cleaver,3,0,0
7/31/15,Disappointment Cleaver,3,0,0
7/31/15,Disappointment Cleaver,2,0,0
7/31/15,Disappointment Cleaver,2,0,0
7/31/15,Kautz Glacier,2,2,1
7/31/15,Disappointment Cleaver,2,2,1
7/31/15,Disappointment Cleaver,4,4,1
7/31/15,Disappointment Cleaver,3,1,0.333333333
7/31/15,Disappointment Cleaver,4,0,0
7/31/15,Disappointment Cleaver,10,9,0.9
7/31/15,Disappointment Cleaver,12,6,0.5
7/31/15,Disappointment Cleaver,12,10,0.833333333
7/31/15,Disappointment Cleaver,3,3,1
7/31/15,Disappointment Cleaver,3,2,0.666666667
7/31/15,Disappointment Cleaver,3,0,0
7/31/15,Disappointment Cleaver,4,0,0
7/31/15,Disappointment Cleaver,1,0,0
7/30/15,Disappointment Cleaver,1,0,0
7/30/15,Disappointment Cleaver,3,3,1
7/30/15,Disappointment Cleaver,2,0,0
7/30/15,Disappointment Cleaver,6,5,0.833333333
7/30/15,Disappointment Cleaver,5,5,1
7/30/15,Disappointment Cleaver,3,3,1
7/30/15,glacier only - no summit attempt,2,0,0
7/30/15,Disappointment Cleaver,4,4,1
7/30/15,Emmons-Winthrop,2,2,1
7/30/15,Disappointment Cleaver,12,9,0.75
7/29/15,Disappointment Cleaver,2,2,1
7/29/15,Emmons-Winthrop,6,6,1
7/29/15,Disappointment Cleaver,4,0,0
7/29/15,Emmons-Winthrop,5,0,0
7/29/15,Emmons-Winthrop,6,0,0
7/28/15,Disappointment Cleaver,2,2,1
7/28/15,Fuhrers Finger,2,0,0
7/28/15,Disappointment Cleaver,2,2,1
7/28/15,Disappointment Cleaver,2,2,1
7/28/15,Disappointment Cleaver,2,2,1
7/28/15,Disappointment Cleaver,2,2,1
7/28/15,Disappointment Cleaver,2,0,0
7/28/15,Emmons-Winthrop,3,0,0
7/28/15,Emmons-Winthrop,12,10,0.833333333
7/28/15,Disappointment Cleaver,3,2,0.666666667
7/28/15,Disappointment Cleaver,2,0,0
7/28/15,Disappointment Cleaver,3,3,1
7/28/15,Disappointment Cleaver,7,3,0.428571429
7/27/15,Disappointment Cleaver,4,4,1
7/27/15,Disappointment Cleaver,4,0,0
7/27/15,Disappointment Cleaver,2,2,1
7/27/15,Disappointment Cleaver,2,2,1
7/27/15,Disappointment Cleaver,3,3,1
7/27/15,Emmons-Winthrop,3,3,1
7/27/15,Emmons-Winthrop,2,2,1
7/27/15,Disappointment Cleaver,3,3,1
7/27/15,Emmons-Winthrop,3,4,1.333333333
7/27/15,Emmons-Winthrop,12,12,1
7/27/15,Kautz Glacier,3,0,0
7/27/15,Disappointment Cleaver,3,3,1
7/27/15,Little Tahoma,6,6,1
7/27/15,Disappointment Cleaver,2,2,1
7/26/15,Kautz Glacier,3,3,1
7/26/15,Emmons-Winthrop,11,8,0.727272727
7/26/15,Success Cleaver,5,0,0
7/26/15,Little Tahoma,4,0,0
7/26/15,Kautz Glacier,6,4,0.666666667
7/26/15,Disappointment Cleaver,2,2,1
7/26/15,Disappointment Cleaver,7,5,0.714285714
7/26/15,Emmons-Winthrop,4,0,0
7/26/15,Kautz Glacier,4,0,0
7/26/15,Disappointment Cleaver,2,0,0
7/26/15,Kautz Glacier,12,0,0
7/26/15,Disappointment Cleaver,12,3,0.25
7/26/15,Disappointment Cleaver,12,6,0.5
7/26/15,Disappointment Cleaver,2,0,0
7/26/15,Kautz Glacier,12,6,0.5
7/25/15,Disappointment Cleaver,3,0,0
7/25/15,Disappointment Cleaver,2,0,0
7/25/15,Emmons-Winthrop,2,1,0.5
7/25/15,Emmons-Winthrop,12,0,0
7/25/15,Disappointment Cleaver,2,0,0
7/25/15,Disappointment Cleaver,3,0,0
7/25/15,Disappointment Cleaver,2,0,0
7/25/15,Disappointment Cleaver,3,0,0
7/25/15,Disappointment Cleaver,7,0,0
7/25/15,Disappointment Cleaver,11,9,0.818181818
7/25/15,Disappointment Cleaver,12,6,0.5
7/25/15,Disappointment Cleaver,12,11,0.916666667
7/25/15,Emmons-Winthrop,8,0,0
7/25/15,Disappointment Cleaver,5,5,1
7/24/15,Emmons-Winthrop,4,0,0
7/24/15,Disappointment Cleaver,4,0,0
7/24/15,Emmons-Winthrop,4,0,0
7/24/15,Disappointment Cleaver,6,0,0
7/24/15,Disappointment Cleaver,4,0,0
7/24/15,Disappointment Cleaver,12,0,0
7/24/15,Disappointment Cleaver,11,0,0
7/24/15,Disappointment Cleaver,4,0,0
7/24/15,Disappointment Cleaver,2,0,0
7/24/15,Disappointment Cleaver,4,0,0
7/23/15,Disappointment Cleaver,6,6,1
7/23/15,Emmons-Winthrop,2,0,0
7/23/15,Disappointment Cleaver,2,2,1
7/23/15,Kautz Glacier,2,0,0
7/23/15,Emmons-Winthrop,5,0,0
7/23/15,Disappointment Cleaver,2,0,0
7/23/15,Kautz Glacier,4,0,0
7/23/15,Emmons-Winthrop,2,0,0
7/23/15,Disappointment Cleaver,11,0,0
7/23/15,Disappointment Cleaver,2,0,0
7/23/15,Disappointment Cleaver,3,3,1
7/23/15,Disappointment Cleaver,2,2,1
7/23/15,Disappointment Cleaver,4,4,1
7/23/15,Disappointment Cleaver,6,0,0
7/23/15,Emmons-Winthrop,2,0,0
7/23/15,Emmons-Winthrop,2,0,0
7/23/15,Emmons-Winthrop,11,0,0
7/22/15,Disappointment Cleaver,12,7,0.583333333
7/22/15,Disappointment Cleaver,12,12,1
7/22/15,Disappointment Cleaver,12,8,0.666666667
7/22/15,Disappointment Cleaver,4,0,0
7/22/15,Disappointment Cleaver,5,5,1
7/22/15,Disappointment Cleaver,2,0,0
7/22/15,Kautz Glacier,2,2,1
7/22/15,Disappointment Cleaver,6,0,0
7/21/15,Disappointment Cleaver,2,0,0
7/21/15,Disappointment Cleaver,2,1,0.5
7/21/15,Disappointment Cleaver,4,4,1
7/21/15,Kautz Glacier,2,2,1
7/21/15,Emmons-Winthrop,12,8,0.666666667
7/21/15,Emmons-Winthrop,4,0,0
7/21/15,Disappointment Cleaver,3,0,0
7/21/15,Disappointment Cleaver,12,10,0.833333333
7/21/15,Emmons-Winthrop,12,8,0.666666667
7/21/15,Disappointment Cleaver,12,5,0.416666667
7/21/15,Kautz Glacier,9,9,1
7/21/15,Disappointment Cleaver,11,0,0
7/20/15,Disappointment Cleaver,5,0,0
